Date,Campaign Name,Campaign ID,Landing Page URL,Traffic Source,UTM Source,UTM Medium,Device Type,Creative ID,Creative Name,Creative Type,Creative Link,Sessions,Users,New Users,Bounce Rate (%),Engagement Rate (%),Average Time on Page,Scroll Depth (%),Clicks on Primary CTA,Form Views,Form Starters,Form Completions,Form Abandonment Rate (%),Primary Conversion Count,Primary Conversion Rate (%),Secondary Conversions,Cost per Session,Cost per Conversion,Total Spend,Lead-to-SQL Rate (%),SQL-to-Opportunity Rate (%),Opportunity-to-Close Rate (%),Customer Acquisition Cost (CAC)
5/15/2024,Summer Promo Lead Gen,GOOG-2024-SUM-001,https://company.com/summer-promo,Google Paid Search,google,cpc,Desktop,CRT-001-HERO,Hero Banner v2,Image,https://assets.company.com/hero-v2.jpg,2847,2234,1789,42.3,58.7,2:34,67.4,487,1203,743,234,68.5,234,8.2,89,4.23,51.5,12051,24.8,42.3,18.7,267.45
5/16/2024,B2B SaaS Demo Campaign,META-2024-B2B-002,https://company.com/saas-demo,Meta Ads,facebook,social,Mobile,CRT-002-VID,Product Demo Video,Video,https://assets.company.com/demo-vid.mp4,1534,1342,1021,38.9,61.1,3:12,72.8,298,687,423,156,63.1,156,10.2,47,6.78,66.67,10400,31.4,48.9,22.1,485.71
5/17/2024,LinkedIn Professional Services,LNKD-2024-PRO-003,https://company.com/pro-services,LinkedIn Ads,linkedin,cpc,Desktop,CRT-003-CAR,Service Carousel,Carousel,https://assets.company.com/carousel-v1.jpg,892,743,634,35.2,64.8,4:28,78.3,187,423,289,134,53.6,134,15,32,8.95,59.7,7984,38.1,52.9,27.5,298.67
5/18/2024,Email Newsletter Signup,EMAIL-2024-NWS-004,https://company.com/newsletter,Email Campaign,mailchimp,email,Mobile,CRT-004-TXT,Simple Text CTA,Text Ad,N/A,3245,2897,2103,28.4,71.6,1:45,45.7,892,1987,1456,678,53.4,678,20.9,234,1.85,8.86,6003,15.2,28.7,12.4,88.64
5/19/2024,Retargeting Display Campaign,GOOG-2024-RTG-005,https://company.com/retarget-offer,Google Display,google,display,Tablet,CRT-005-BAN,Animated Banner,Image,https://assets.company.com/animated-banner.gif,1987,1543,967,49.7,50.3,2:18,58.9,312,743,456,189,58.6,189,9.5,67,3.42,35.98,6795,22.2,39.5,16.7,215.87
5/20/2024,YouTube Product Launch,YT-2024-LAUNCH-006,https://company.com/product-launch,YouTube Ads,youtube,video,Mobile,CRT-006-VID,Launch Announcement,Video,https://assets.company.com/launch-video.mp4,4567,3892,3245,45.8,54.2,3:45,69.2,743,1789,1123,387,65.5,387,8.5,156,5.67,66.93,25895,28.7,44.2,19.8,334.87
5/21/2024,Twitter Brand Awareness,TW-2024-BRAND-007,https://company.com/brand-story,Twitter Ads,twitter,social,Mobile,CRT-007-IMG,Brand Story Image,Image,https://assets.company.com/brand-story.jpg,2143,1876,1534,52.3,47.7,1:52,41.6,289,623,345,98,71.6,98,4.6,43,2.98,65.2,6386,18.4,33.3,11.1,326.02
5/22/2024,Pinterest E-commerce Push,PIN-2024-ECOM-008,https://company.com/shop-now,Pinterest Ads,pinterest,social,Desktop,CRT-008-PIN,Product Showcase Pin,Image,https://assets.company.com/product-pin.jpg,1675,1423,1189,39.4,60.6,2:56,71.8,398,789,523,267,49,267,15.9,89,4.55,28.61,7621,26.6,40.8,23.2,142.87
5/23/2024,TikTok Gen Z Outreach,TT-2024-GENZ-009,https://company.com/gen-z-hub,TikTok Ads,tiktok,video,Mobile,CRT-009-VID,Trending Challenge Video,Video,https://assets.company.com/tiktok-challenge.mp4,6789,5432,4876,62.1,37.9,0:45,23.4,523,1234,678,156,77,156,2.3,234,1.89,82.37,12830,12.8,25,10,411.61
5/24/2024,Bing Search Alternative,BING-2024-ALT-010,https://company.com/bing-landing,Bing Ads,bing,cpc,Desktop,CRT-010-TXT,Text Ad Extended,Text Ad,N/A,1234,987,823,44.2,55.8,3:21,74.5,234,456,298,123,58.7,123,10,45,3.26,32.68,4023,29.3,44.4,25,178.32
